id,firstName,lastName,secondName,dateOfBirth,dateOfDeath,placeOfBirth,placeOfBirthName,placeOfDeath,placeOfDeathName,travel,burialPlace,burialDate,testament,actTestament,dateBaptism,religion,gender,stcn,orphanage,education,posUniversity,miscellaneous,profStart,profEnd,father,fatherName,mother,motherName
ABB1,'Boudewijn','Aa','Boudewijnsz van der','1676',NULL,'PLACE1','leiden',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1695','1702','P1','Boudewijn Pietersz van der Aa','P2','Annetje Poortemuller'
ABJ2,'Boudewijn','Aa','Jansz van der','1692',NULL,'PLACE1','leiden','PLACE1','leiden',NULL,'PK 3/10-10-1750',NULL,NULL,NULL,NULL,NULL,'M',NULL,'Reg. van Secl. FF 204',NULL,NULL,NULL,'1719','1736','P4','Jan van der Aa','P5','Maria Knoop'
ACV3,'Cornelis','Aa','van der','1749',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1767',NULL,'P7',NULL,'P8',NULL
AHV4,'Hillebrand','Aa','van der','1661','1721',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'22-3-1661','Luthers','M',NULL,'Penningboek 18, 215','16-7-1698 Inschrijving als caelator',NULL,NULL,'1697','1717','P9','Boudewijn Pietersz van der Aa','P10','Annetje Poortemuller'
APJ5,'Pieter','Aa','Jansz van der','1697','2-8-1751','PLACE1','leiden',NULL,NULL,NULL,'PK 31-7/7-8-1751',NULL,NULL,NULL,NULL,'Luthers','M',NULL,NULL,NULL,NULL,NULL,'1719','1736','P13','Jan van der Aa','P14','Maria Knoop'
ACV6,'Christiaan','Albrecht','Valentijn',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1774',NULL,'P15',NULL,'P16',NULL
AJC7,'Jan','Aalbregts','Christiaan',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1766','1776','P17',NULL,'P18',NULL
AD8,'Dirk','Aangeenbrugge',NULL,NULL,NULL,'PLACE1','leiden',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1761',NULL,'P19',NULL,'P20',NULL
AJV9,'Johannes','Abkoude','van','1703','1761',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'10-8-1703',NULL,'M',NULL,NULL,NULL,NULL,NULL,'1726','1745','P22','de meester loodgieter Hendrik van Abkoude','P23','Rosetta Rijsendeeg'
ATV10,'Tomas','Acher','van',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,'M',NULL,NULL,NULL,NULL,NULL,'1636',NULL,'P25',NULL,'P26',NULL
